Test#,N(Packages),Time(µs approx),NumDuplicates,Memory(bytes),Correct
1,1000,1000,15,80168,YES
2,1832,2000,63,147016,YES
3,3359,8000,159,269824,YES
4,6158,4000,549,496144,YES
5,11288,11000,1605,911224,YES
6,20691,20000,4333,1664576,YES
7,37926,23000,10504,2997560,YES
8,69519,50000,20582,5244856,YES
9,127427,62000,29496,8850448,YES
10,233572,97000,32571,14908136,YES
11,428133,170000,32765,25810384,YES
12,784759,277000,32768,45781560,YES
13,1438449,530000,32768,82388200,YES
14,2636650,900000,32768,149487456,YES
15,4832930,1548000,32768,272479136,YES
16,8858667,2741000,32768,497920408,YES
17,16237767,4940000,32768,911150008,YES
18,29763514,9092000,32768,1668591840,YES
19,54555947,16435000,32768,3056968088,YES
20,100000000,29765000,32768,5601835056,YES
