Test#,N(Packages),Time(µs approx),NumDuplicates,Memory(bytes),Correct
1,1000,1131,0,80048,YES
2,1072,717,0,85808,YES
3,1149,768,0,91968,YES
4,1232,834,0,98608,YES
5,1321,899,0,105728,YES
6,1417,969,0,113408,YES
7,1519,1044,0,121568,YES
8,1629,1124,0,130368,YES
9,1747,1218,0,139808,YES
10,1873,1311,0,149888,YES
11,2009,1415,0,160768,YES
12,2154,1525,0,172368,YES
13,2310,1648,0,184848,YES
14,2477,1773,0,198208,YES
15,2656,1917,0,212528,YES
16,2848,2078,0,227888,YES
17,3053,2235,0,244288,YES
18,3274,2401,0,261968,YES
19,3511,2597,0,280928,YES
20,3764,2798,0,301168,YES
21,4037,3021,0,323008,YES
22,4328,3263,0,346288,YES
23,4641,3520,0,371328,YES
24,4977,3796,0,398208,YES
25,5336,4100,0,426928,YES
26,5722,4414,0,457808,YES
27,6135,4758,0,490848,YES
28,6579,5149,0,526368,YES
29,7054,5545,0,564368,YES
30,7564,5974,0,605168,YES
31,8111,6433,0,648928,YES
32,8697,6948,0,695808,YES
33,9326,7486,0,746128,YES
34,10000,8080,0,800048,YES
35,10722,8693,0,857808,YES
36,11497,9406,0,919808,YES
37,12328,10135,1,986296,YES
38,13219,10935,1,1057576,YES
39,14174,11802,2,1133984,YES
40,15199,12742,0,1215968,YES
41,16297,13743,1,1303816,YES
42,17475,14864,2,1398064,YES
43,18738,16017,0,1499088,YES
44,20092,17346,4,1607440,YES
45,21544,18674,1,1723576,YES
46,23101,20266,4,1848160,YES
47,24770,21832,2,1981664,YES
48,26560,23621,4,2124880,YES
49,28480,25578,7,2278504,YES
50,30538,27693,7,2443144,YES
51,32745,29789,8,2619712,YES
52,35111,32265,11,2809016,YES
53,37649,34786,2,3011984,YES
54,40370,37551,8,3229712,YES
55,43287,40544,6,3463056,YES
56,46415,43913,19,3713400,YES
57,49770,47603,11,3981736,YES
58,53366,51277,24,4269520,YES
59,57223,55830,10,4577968,YES
60,61359,60112,23,4908952,YES
61,65793,64861,18,5263632,YES
62,70548,70737,33,5644152,YES
63,75646,75528,29,6051960,YES
64,81113,81721,42,6489424,YES
65,86974,88629,47,6958344,YES
66,93260,95136,36,7461136,YES
67,100000,102582,51,8000456,YES
68,107226,110967,40,8578448,YES
69,114975,120506,63,9198552,YES
70,123284,129109,79,9863400,YES
71,132194,141826,85,10576248,YES
72,141747,151675,87,11340504,YES
73,151991,164533,110,12160208,YES
74,162975,178126,132,13039104,YES
75,174752,192054,146,13981352,YES
76,187381,208596,191,14992056,YES
77,200923,225909,193,16075432,YES
78,215443,244060,233,17237352,YES
79,231012,261912,242,18482944,YES
80,247707,280446,297,19818984,YES
81,265608,303800,342,21251424,YES
82,284803,331387,423,22787672,YES
83,305385,358651,490,24434768,YES
84,327454,383072,510,26200424,YES
85,351119,422699,601,28094376,YES
86,376493,446706,803,30125888,YES
87,403701,491627,802,32302448,YES
88,432876,526222,958,34637792,YES
89,464158,574959,1046,37140984,YES
90,497702,618736,1234,39826056,YES
91,533669,664997,1463,42705104,YES
92,572236,719545,1616,45791760,YES
93,613590,780785,1831,49101800,YES
94,657933,845020,2059,52651016,YES
95,705480,921534,2478,56458080,YES
96,756463,995588,2801,60539376,YES
97,811130,1099427,3228,64916008,YES
98,869749,1184799,3796,69609928,YES
99,932603,1291119,4341,74642632,YES
100,1000000,1403382,4974,80039576,YES
