k,Re(c_k),Im(c_k)
-1.024000000000000000e+03,1.091592221879114644e-06,-2.140092767791146322e-07
-1.023000000000000000e+03,1.408822098085404928e-06,-3.647316284202672954e-07
-1.022000000000000000e+03,6.427433148839534205e-07,-2.820403037749608099e-07
-1.021000000000000000e+03,6.890459554494132721e-07,-1.438048331716540451e-07
-1.020000000000000000e+03,-2.870137131051608836e-07,-3.685082369600523045e-07
-1.019000000000000000e+03,7.393507486554151686e-07,-2.078125447401574233e-07
-1.018000000000000000e+03,1.123087702996350412e-06,2.689539134823754063e-07
-1.017000000000000000e+03,3.582335831742861076e-07,2.994158845052649620e-07
-1.016000000000000000e+03,6.953418779074866524e-07,-1.139724042031669757e-06
-1.015000000000000000e+03,1.179474852971203885e-06,-9.425691854438728035e-07
-1.014000000000000000e+03,8.556412639066854342e-07,9.363129397786836006e-07
-1.013000000000000000e+03,-3.046263378214675299e-07,2.122564230207062141e-07
-1.012000000000000000e+03,1.542271362772672477e-07,4.739732339158414867e-07
-1.011000000000000000e+03,7.115100818068847760e-07,-1.757343419329015707e-07
-1.010000000000000000e+03,1.229524467377890798e-06,-1.247177178390364142e-06
-1.009000000000000000e+03,1.211047094278982876e-06,4.135395842014277790e-07
-1.008000000000000000e+03,-2.286538507115416785e-07,-9.472944065010797596e-07
-1.007000000000000000e+03,3.581973673986819928e-07,-5.690731367125750895e-07
-1.006000000000000000e+03,4.612622089786994062e-07,9.261099297611838615e-07
-1.005000000000000000e+03,1.965553478913131466e-07,-3.003717794476754716e-07
-1.004000000000000000e+03,1.267676540418522131e-06,3.123297144160002868e-07
-1.003000000000000000e+03,8.706570264935785397e-07,-3.488009957912374670e-07
-1.002000000000000000e+03,5.934564836410202628e-07,-9.771912173693999074e-07
-1.001000000000000000e+03,9.873190026916218390e-07,-5.049655574290219011e-07
-1.000000000000000000e+03,7.014374068601680196e-07,5.554771912222571800e-08
-9.990000000000000000e+02,3.208469110338669009e-07,1.120498123638924339e-06
-9.980000000000000000e+02,5.837476136835977741e-08,-2.771185382487400921e-08
-9.970000000000000000e+02,4.433238908946773903e-07,-6.122790431084171965e-07
-9.960000000000000000e+02,1.359105144014085588e-06,-7.056479201125823728e-07
-9.950000000000000000e+02,6.253508836187319435e-07,-2.733024835702710723e-07
-9.940000000000000000e+02,-2.140185683691814278e-07,4.026534294132664421e-07
